Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,Cart_Abandonment_Rate,Returns_Per_Year,Customer_Service_Calls,Products_Viewed,Wishlist_Items,Payment_Method_Changes,Reviews_Written,Discount_Used_Percentage,Days_Since_Last_Purchase,Average_Order_Value
youngbarbara@yahoo.com,"019 Elliott Tunnel Suite 190
Nicholsbury, WV 60804-4440",Wheat,34.50755099852662,12.893669504071738,37.63575587790592,5.705153970601026,700.9170916173961,0.28242799368681437,0,0,105.0,13,2,23.0,22.0,283,122.68
william25@mcconnell.com,"9495 Mary Fall Apt. 777
Glassport, ND 17957-5596",Teal,33.02933195350689,11.765812645482358,37.73852494557909,2.7217359920452187,423.17999168059777,0.41407038455720546,2,8,169.0,7,0,20.0,21.0,312,95.36
ijones@schaefer-carr.net,"657 Judith Crossroad
Hancockchester, VI 75658-5788",Linen,33.54123131310037,12.78389178427502,36.430649621049305,4.648199316428601,619.8956398616368,0.1798695128633439,4,7,173.0,9,1,16.0,5.0,234,134.51
heatherhall@yahoo.com,"8522 Regina Port Suite 782
Port Kaitlin, TX 50501-7264",MediumSlateBlue,32.33598963740772,13.007819424388568,37.85177916943607,2.996364526268539,486.83893476506273,0.3056937753654446,1,1,60.0,13,2,9.0,17.0,23,170.57
tinasmith@martinez.info,"40000 Ann Port Suite 474
Youngberg, MS 03651",LemonChiffon,33.11020505771776,11.982044994015611,35.29308775436051,3.923488745527437,529.537665336851,0.33696582754481696,0,8,119.0,13,0,20.0,33.0,153,70.57
chasejennifer@hotmail.com,"9507 Robert Prairie Apt. 601
East Crystalview, SC 56814",DarkOrchid,33.10543794246846,11.965020002997898,37.27781174207212,4.742577519573315,554.7220838330761,0.1185801650879991,2,6,79.0,5,2,17.0,20.0,277,137.1
jenniferbarnett@gmail.com,"0772 Michael Isle Suite 617
Meyerstown, WA 45449-6768",SeaGreen,33.24190043446127,12.305417813429443,36.16364817104465,3.062368145311689,497.5866713004408,0.34301794076057535,2,8,128.0,2,0,20.0,23.0,61,125.83
jared39@hotmail.com,"739 David Isle Suite 818
Chandlertown, DC 34587",SteelBlue,33.46105629551836,10.869163814130363,35.62244242064545,3.471413452477678,447.6879065360586,0.16820964947491662,0,5,81.0,6,1,11.0,13.0,319,71.61
briancarlson@page-fleming.com,"USCGC Gill
FPO AA 26496",DarkMagenta,32.175501237949376,13.387492105579694,35.69417498569782,4.343062915388998,588.7126055095755,0.12602063719411183,4,5,154.0,3,2,14.0,28.0,52,143.6
joshuaodom@gmail.com,"5277 Patel Brook
East Audrey, NJ 19075",DarkGoldenRod,32.72836000313375,13.1045072428758,38.878040506759845,2.8200972339734696,491.0732236795197,0.4795542149013333,0,3,179.0,13,0,23.0,26.0,344,91.05
vickie90@lee-wilson.com,"9135 Rodriguez Dam
Ramirezberg, MS 77223",DarkSeaGreen,32.82030994541536,11.634893252550466,35.36862632536302,4.1245852967146535,507.4418323396167,0.4862528132298237,1,9,57.0,8,2,4.0,20.0,153,123.18
duane56@hotmail.com,"24373 Mcgee Drive Apt. 990
New Mariahaven, NH 14470",Gainsboro,33.61603789276768,11.936386499892285,38.76864099802668,3.649286157714702,521.8835731664784,0.4233589392465845,0,9,116.0,14,2,10.0,33.0,237,62.34
enash@gmail.com,"997 Campbell Flat Suite 970
East Amanda, PW 22048",HotPink,31.72165236050904,11.75502370305383,36.7657223578584,1.8473704233395083,347.7769266318726,0.2218455076693483,2,1,120.0,4,2,20.0,6.0,311,118.94
sandraharrison@bailey-gordon.net,"7835 Rogers Roads
East Amberhaven, MI 70835-2286",LightSeaGreen,32.8653271748764,11.984417523634924,37.0443614002997,3.452388582630727,490.7386321439546,0.13906884560255356,0,6,158.0,2,2,13.0,4.0,302,95.97
cunninghamwilliam@hotmail.com,"4589 Dan Fords
Beasleyburgh, ME 96590-8272",HoneyDew,32.74936818112046,9.954975969174418,37.38831486719822,4.650491269094463,478.1703340540876,0.3736932106048628,4,4,98.0,1,0,14.0,28.0,32,173.36
teresaallen@hill-leach.info,"1958 Robert Bridge Apt. 250
Malloryland, ID 03393-5336",WhiteSmoke,32.56723048027511,12.489013215743665,36.37147981406854,4.22243622534277,537.8461952695957,0.27606099749584057,3,5,72.0,10,1,12.0,28.0,55,58.55
rhonda96@little.org,"2977 Perez Row
Lake Jack, TN 45336-9436",GhostWhite,32.07054622092545,11.733106220383402,37.53429101112127,4.671275460906252,532.7517875818365,0.14881529393791154,0,1,117.0,1,0,12.0,8.0,352,112.79
lisacabrera@yahoo.com,"9801 Thomas Pike Suite 058
Brandishire, AK 88122-1314",DarkSlateBlue,33.01954798572344,10.634561317920278,37.49669014561275,4.646119976606155,501.8744302842695,0.29807076404450805,4,4,181.0,2,0,8.0,13.0,36,118.76
jasonrichardson@elliott.com,"18372 Matthew Fork Suite 705
North Matthewmouth, KY 99737",Chocolate,33.79203907501622,12.507525374016035,37.14286198458455,4.214495086037866,591.1971781805905,0.11375540844608736,4,9,47.0,1,0,20.0,5.0,110,158.75
hoovernicole@dorsey.net,"69403 Hernandez Knolls
Marciashire, DE 36417-5667",HoneyDew,32.89398062181101,11.52987820576495,36.888086054199256,4.643258549800133,547.2443434159983,0.4637281608315128,2,3,170.0,13,1,12.0,13.0,177,136.14
christopher20@gmail.com,"USNV Fuller
FPO AE 32122-5711",Snow,32.04448612744043,13.41493473585169,36.11243501077792,2.258686386946843,448.22982918655,0.20351199264000677,4,8,60.0,3,2,20.0,25.0,362,150.08
brianwilson@yahoo.com,"448 Stewart Divide
New Ashleyfort, FM 84050",BurlyWood,34.555767994657494,12.170525424959395,39.13109673366661,3.663105491283854,549.860590464497,0.36500891374159283,4,5,27.0,1,2,22.0,19.0,314,166.56
gonzaleskatie@gmail.com,"70129 Darrell Spring
Thomasmouth, HI 39319-2739",Moccasin,34.56455770619167,13.14655143290706,37.33544589432572,3.8768751769237673,593.915002968289,0.2246844304357644,4,1,131.0,9,2,10.0,14.0,295,179.33
lsmith@chung.com,"412 Jackson River
Kleinburgh, KS 52039-7404",BlueViolet,32.726784597863976,12.988510147185291,36.46200325853961,4.113226122724209,563.6728733601082,0.3080272084711243,4,0,149.0,8,1,12.0,15.0,336,97.08
dongarcia@hotmail.com,"546 Benjamin Lights Suite 421
Romerofurt, NC 43746-4501",MediumBlue,33.117218732994786,11.86412635894251,36.58272776540628,3.202531199210734,479.73194908594513,0.31868411173731187,1,4,43.0,1,2,10.0,3.0,97,130.7
kimberly46@garcia-nelson.biz,"4066 Gonzalez Dam Apt. 277
West Jessica, TN 36880",GreenYellow,31.66104982274608,11.398064190096813,36.59445670006827,3.198399271684906,416.3583535799008,0.17394178221021084,1,8,174.0,8,1,16.0,12.0,213,176.02
william82@gmail.com,"11143 Park Squares
Samanthatown, UT 97073",SandyBrown,33.25633546983111,13.85806246213124,37.78026468722867,5.97676812602,725.5848140556805,0.48783385110582345,2,5,73.0,12,2,14.0,25.0,317,198.42
brenda82@maldonado-gonzalez.net,"645 Elizabeth Pass
Williamview, MS 51544",MediumVioletRed,33.90022441401576,10.956790967791653,37.266878259420906,2.952668957921736,442.667251738628,0.4100531293444458,0,9,199.0,5,2,17.0,32.0,137,183.43
josephgould@west.info,"861 Annette Stream Suite 771
North Miguel, CA 33824-1610",DarkBlue,34.18777482695728,10.320116255059192,37.45340510152358,2.0948917061051766,384.6265715694054,0.4757995766256756,4,6,201.0,0,0,22.0,28.0,6,105.72
wbrady@yahoo.com,"044 Riggs Expressway
Lake Stevenchester, AL 22283",SandyBrown,33.76206923913139,9.98451439654646,35.93344930095986,3.85547168456418,451.4574468676027,0.4579309401710595,0,4,118.0,3,1,14.0,5.0,109,79.27
smithtracey@mcgee.com,"PSC 4508, Box 7961
APO AA 55271-2375",DarkOliveGreen,34.390163664343326,12.64519514084352,38.46832110587932,2.874596910303952,522.40414125956,0.3391599915244341,0,9,128.0,14,0,16.0,30.0,35,123.41
amberchase@fowler.info,"1867 Gregory Isle Suite 022
Port Tammy, LA 52305-9696",GreenYellow,33.92529660119954,11.588655423353044,35.25224202243303,3.3920504890738385,483.6733080190456,0.4687496940092467,2,5,186.0,13,0,17.0,27.0,39,161.25
gregoryholmes@hotmail.com,"2891 Martin Plain Suite 197
Melaniestad, NE 65650-8529",DarkSalmon,32.68822929602445,13.761532847115612,39.25293095040623,2.995761182613056,520.8987944502368,0.1353970008207678,4,4,140.0,0,0,16.0,26.0,150,123.89
jeffreydawson@gmail.com,"9944 Trevor Expressway
Robinsonstad, OR 34630-1840",DarkSeaGreen,34.3018702154015,10.56829468563276,36.17312563197192,3.315224753915403,453.16950235469744,0.1783931449676581,4,8,120.0,13,1,4.0,17.0,118,122.48
rjohns@gmail.com,"264 Derek Dam Apt. 680
West Danielle, SD 91517-8611",DeepPink,32.843930222655175,11.832286222863628,36.81401056250368,3.4719191365417483,496.650708068581,0.11809091556421523,3,5,89.0,5,1,11.0,15.0,261,175.73
john85@martin-morgan.com,"USNV Reese
FPO AA 73568-0730",Olive,33.75499472831927,12.06415663219932,37.271221692501925,3.9705556280753487,547.3651405940458,0.23013213230530574,0,7,102.0,13,2,15.0,13.0,87,104.21
vcoleman@yahoo.com,"7761 Hughes Curve Apt. 880
Rodriguezberg, MN 96206-5317",SkyBlue,33.879784289702826,12.495591602384836,38.05260975257308,4.639320331857264,616.8515229667128,0.25547091587579285,0,1,185.0,12,0,22.0,7.0,76,178.97
floresarthur@yahoo.com,"12612 Johnson Skyway Suite 764
Jessicaville, CT 14968-6590",Magenta,33.07653560709715,9.607314687519166,36.49399254673739,5.081210092491108,507.21256900067846,0.20853961270955837,1,8,186.0,3,2,15.0,12.0,313,111.02
ryan36@gmail.com,"5379 Rhonda Prairie Apt. 696
Brownland, WA 87027",DarkTurquoise,32.22729913636721,13.728627177429864,37.99702800956553,4.802630630523376,613.5993233689068,0.43149500366077176,3,4,29.0,2,0,11.0,12.0,214,99.23
chris67@ryan.biz,"716 Bush Greens Apt. 098
Trevorton, MA 17817-8000",Silver,32.789772618310714,11.670065919118978,37.4087484767376,3.414688422504897,483.15972078451705,0.2427013306774357,1,6,62.0,2,1,11.0,18.0,285,118.1
katie25@gmail.com,"6861 Lopez Fork Apt. 114
South Jamiechester, DE 63993",SpringGreen,32.77260992960089,13.276313008175377,36.60077705432864,3.462298847460372,540.2634004105403,0.2123738038749523,1,9,193.0,8,1,16.0,26.0,239,164.37
kyang@diaz.org,"223 Love Trail Suite 831
Port Jeffrey, IN 46849",OliveDrab,34.374258045247466,15.126994288792469,37.15762409406526,5.377593583586978,765.5184619388372,0.31707843326329943,1,0,139.0,5,1,15.0,20.0,165,68.9
tadams@contreras.info,"049 Matthew Terrace
Lake Matthew, MS 20210",Aqua,33.0787172146689,12.695789749023144,35.358444307206696,4.001786345798084,553.6015346844503,0.15636968998990508,2,9,148.0,8,0,19.0,6.0,87,79.46
craigcastro@burgess.com,"65407 Warner Forges Suite 071
New Lori, AZ 30132-2395",OrangeRed,32.80522040097184,11.835476087614284,36.375066106372905,3.4395905595500764,469.3108614953106,0.42087879230161584,2,4,35.0,12,1,4.0,32.0,141,192.72
ellen24@anthony.com,"PSC 3408, Box 3353
APO AE 05113-1257",LimeGreen,32.43075793005128,11.306232344673576,37.68040322813719,2.7795207192736093,408.62018782983785,0.12982025747190834,1,9,153.0,4,0,16.0,31.0,160,76.32
davisrobert@hicks-smith.com,"95967 Pitts Burgs
West Sarah, MH 27817-5147",SkyBlue,32.179099972602344,11.187538910878676,40.005181638101895,3.5526497674265176,451.575685159493,0.4947547746402069,3,1,40.0,1,2,10.0,27.0,46,135.16
walkerlaura@peterson-yates.com,"89154 Jones Stream Suite 311
East Katie, NC 72742-1516",LightGreen,33.15417578832186,11.887494133971662,36.265000697022046,2.6022871120328714,444.96655165329264,0.40889790771866297,0,5,63.0,7,0,8.0,32.0,112,136.9
marc54@hotmail.com,"Unit 6174 Box 1949
DPO AP 27478",SandyBrown,34.33589583979252,12.2289347111239,36.1571911511149,4.694322274442824,595.8228366992037,0.17948627261366898,3,0,44.0,4,2,11.0,21.0,45,123.44
gregoryrussell@yahoo.com,"55436 Devon Plain
West Kendraberg, HI 18826-3623",Teal,32.38625185558597,10.674653472691904,38.00658317947767,3.4015223445155094,418.1500810968496,0.10220884684944097,4,2,165.0,1,0,17.0,32.0,247,146.71
williamsjohnny@ferguson.info,"51920 Kent Junctions Apt. 352
Walkerport, NY 11257-6647",LightYellow,32.80869759268502,12.817113090284248,37.03153921676629,3.8515788003584657,534.7771880994133,0.42618457138193366,2,4,122.0,3,2,16.0,6.0,104,84.47
haydenrebecca@gmail.com,"10022 Wilson Orchard Suite 107
Harrisstad, MH 99272",MintCream,33.87974496798125,13.5878060830337,38.260353442660126,3.25811288288828,578.2416050583773,0.38274293753904687,0,3,49.0,8,1,18.0,14.0,85,132.9
langmatthew@hotmail.com,"606 Perez Drives
Maryside, CO 94387-5877",DimGray,32.04983939045731,12.238057349986248,38.73086173541955,3.120568914816974,478.7193568742153,0.3916028672163949,0,2,31.0,14,2,20.0,10.0,134,105.83
david43@richards.com,"967 Andrew Spurs
Mathistown, CO 28230",Indigo,33.55520742143224,11.55182116621942,36.628834292811774,2.837943164069798,444.2859074976436,0.4085081386743783,4,9,122.0,3,1,18.0,9.0,108,149.25
paulkemp@yahoo.com,"PSC 9698, Box 5466
APO AE 75496-3580",LightSalmon,33.14207932732039,11.433379933334455,35.89243163440533,4.470282584120023,544.7798637193825,0.12961786069363615,4,4,109.0,12,1,23.0,9.0,18,71.18
fbryant@gmail.com,"284 Jennifer Curve
Lake Hollyberg, IN 05228",GreenYellow,32.59718265981362,10.889566863427978,38.21257083414733,4.442054329011166,488.7860610939056,0.24338629141770907,1,7,64.0,11,2,21.0,23.0,94,135.63
kimberlyfrederick@gmail.com,"71299 Jessica Shoals
East Mark, IA 48085-1070",DeepSkyBlue,33.167136876950536,11.928842093866267,36.91463331144087,3.164943995285113,475.759067788328,0.1463476238100519,2,3,195.0,11,0,21.0,27.0,150,77.79
sharon82@saunders.info,"873 Clay Flats Apt. 810
Lake Kyle, GU 48782",DarkGreen,31.514737857801983,12.595671305072534,39.6003764658614,3.7517345520890513,489.8124879964614,0.4452413703502375,2,0,37.0,11,0,5.0,21.0,246,91.8
fishermichael@ramos.com,"565 Duarte Keys Suite 293
Traceytown, IN 17797",LimeGreen,34.59402114954151,10.947258584185183,35.88399438701215,3.159754443950926,462.8976361529081,0.3493192507310232,3,6,100.0,12,0,7.0,8.0,289,82.81
ilawson@hotmail.com,"19018 Christopher Neck Apt. 963
Mcintoshchester, IA 66908-2456",DarkGoldenRod,33.50136982210362,13.898081993497067,37.0589128165069,4.130562809236323,596.4301726172283,0.23235920994105969,1,7,25.0,14,0,4.0,28.0,209,77.43
shafferdaniel@murphy-harris.info,"USCGC Thomas
FPO AP 43708-2468",Turquoise,32.40237101796123,10.875559548189257,37.78114255999947,1.9140899242311,338.3198626415221,0.12542334011440948,1,2,141.0,13,0,7.0,21.0,126,173.86
stevenanderson@yahoo.com,"5401 Holt Corner Apt. 195
Hannahstad, NC 86693-3595",LightGreen,34.65548567957987,10.33807269503854,36.15725594420065,4.396651901097083,533.5149352552407,0.2243929286862649,1,5,59.0,3,1,21.0,16.0,235,92.86
richard16@boyer-pratt.com,"4568 Jeffrey Lane Apt. 512
South Jason, WV 78116-0966",LightSteelBlue,31.809300316679188,11.634668217942473,36.182539282355286,5.113319474870622,536.7718993628412,0.23007332881069884,1,1,91.0,1,0,8.0,25.0,122,189.07
hyoung@jones.info,"73469 Baker Forest Apt. 550
Allenbury, TX 63791",Cornsilk,33.877779300122526,12.517666287393077,37.15192066097144,2.669941624279581,487.3793060170291,0.39184247133522565,2,6,189.0,12,1,22.0,10.0,138,195.49
erik46@hotmail.com,"20711 Martin Harbors Apt. 582
New Justinborough, AK 40834-2664",LemonChiffon,34.447871436480774,10.607723870859086,36.81909551318471,3.3664637433729325,473.7289665129948,0.35502298854208525,2,7,63.0,11,1,18.0,14.0,115,135.69
rojasmichael@wagner-thomas.com,"7602 Scott Plaza Apt. 158
Lake Amberland, VI 10516-3276",DarkKhaki,31.956300560523367,12.8288933950187,36.951616684246815,4.571213023779052,547.1259317471988,0.4548850970305306,1,5,85.0,14,1,11.0,32.0,162,71.45
lance88@briggs.com,"16001 Wilkins Island Suite 852
Jonathanfort, AL 88541-7817",FireBrick,32.6055836415705,12.068816079691766,36.1050004999139,3.917451119136939,505.1133435398579,0.28888597006477973,3,5,83.0,5,2,23.0,13.0,201,106.18
anthony09@hotmail.com,"5118 Madden Views Apt. 738
North Barryport, AS 28731-2270",LightSeaGreen,32.49144660312287,12.530357373542882,37.87521910003027,2.476139050596411,449.0703194428044,0.14783769837532068,0,4,148.0,12,2,20.0,17.0,234,169.66
audreyjohnson@rosales.com,"USCGC Nicholson
FPO AE 43987-0470",SlateGray,33.616018552595435,13.516284296962846,36.77312349371806,4.125584363255396,611.0000251040717,0.38529791488919807,0,7,134.0,10,1,4.0,31.0,28,105.11
beth76@yahoo.com,"4522 Paul Heights Suite 851
Adamsland, RI 08981",Crimson,33.47160052695171,11.662263431208276,36.05024078202619,3.9972553776226674,515.8288148548279,0.40431401944675904,3,0,36.0,13,2,15.0,25.0,11,63.05
larrywest@davis.com,"21918 Gail Glens
Barbershire, SD 45790-8387",MidnightBlue,33.71065305912268,13.664747875183542,37.72438615760942,1.3626740800013843,439.074766741645,0.3245108790277985,1,9,107.0,1,0,22.0,3.0,206,133.52
raylopez@hotmail.com,"3600 Amber Plains Suite 002
North Jamesburgh, VA 07917",DarkGoldenRod,32.19772379742183,11.83023109487895,36.63385670229112,4.193324635532072,514.088957746572,0.40838687198182444,2,3,153.0,11,0,18.0,9.0,167,176.77
middletonrenee@gmail.com,"71757 David Freeway Apt. 851
West Carriefurt, NC 27106-3364",DarkCyan,32.46121244511541,13.291143045352882,38.633625651583536,3.871003400176416,543.340166256701,0.2975182385457563,0,3,93.0,6,1,12.0,4.0,247,169.39
grichardson@ryan.info,"79139 Boone Common
Stewartstad, DE 63633-1812",SteelBlue,33.790387206952126,11.942340869536071,38.06341358683894,4.08180269478151,521.1429518103512,0.3090931317527976,4,2,168.0,2,0,10.0,23.0,47,76.27
esmith@gmail.com,"USS Johnson
FPO AE 35617-5384",OldLace,34.18382052058911,13.349912944366531,37.827394227862136,4.252006105620936,614.7153338263417,0.27101640734341986,4,2,146.0,14,1,5.0,18.0,246,150.91
michael53@munoz.com,"USNS Mitchell
FPO AP 92946",MediumBlue,32.288666909138946,12.020112091208748,39.074400211336965,3.911708668370663,507.39006178986654,0.11016765069763808,3,3,112.0,2,1,12.0,8.0,127,83.08
jacqueline46@mcdonald-smith.biz,"3794 Michael Forest Apt. 750
New Stephenberg, MD 61004-0181",Gray,33.82635200907213,12.084091730811034,35.89035795567322,3.021671821710012,495.2994425473086,0.1431565707973218,1,0,51.0,4,0,13.0,32.0,147,82.73
briannasantana@gmail.com,"88978 Noble Crest
North Rosemouth, FM 53484-6689",LightPink,32.49839307472945,13.410759184940549,35.9904889547585,3.184618661620886,518.0645579840107,0.11257167427469371,0,1,89.0,2,2,5.0,19.0,118,181.11
mark52@yahoo.com,"82227 Farmer Throughway Suite 266
Leeborough, WV 35324",BlanchedAlmond,31.88540629991176,11.281931074103642,37.385317552778375,2.877224878259828,390.1032729724755,0.3545641645055122,1,8,185.0,1,0,22.0,10.0,152,87.45
acampbell@sanchez-velasquez.info,"5791 Jessica Cove
Mckinneyborough, OK 64460-7536",Wheat,32.425697279750864,11.448901535513796,37.58019042917731,2.5869679851624765,420.7376732446371,0.22574239243053068,0,9,27.0,9,0,14.0,18.0,72,89.49
qgarcia@williams.com,"465 Kenneth Common Apt. 192
North Tracy, WI 36024-8978",Aqua,33.43782956230187,12.595420346380532,36.26203180012439,2.96964022663276,492.1050523891852,0.3034282764658811,3,1,191.0,8,1,16.0,23.0,363,50.1
jenniferking@hess.net,"06939 Jones Neck
Mariaview, VT 87641",BlueViolet,31.3895854806644,10.994223919350974,38.07445241970454,3.4288599039280125,410.06961105998295,0.4630265895704372,3,4,186.0,1,1,13.0,6.0,137,180.6
taylor91@hotmail.com,"3132 Willie Harbor
Kaylafurt, FL 01107",CadetBlue,33.46869994900622,13.085505760060858,35.84582711383271,2.926940235492512,497.5136833293677,0.19971689165954998,4,8,68.0,13,1,17.0,11.0,175,168.89
afry@ford.biz,"399 Jeremy Skyway Suite 377
North Keithville, IL 55074",PaleTurquoise,32.291756100263015,12.190474287309026,36.15246208860067,3.781823039343296,494.55186108657256,0.2641531692142519,1,8,174.0,10,1,21.0,28.0,289,144.1
amandadean@gmail.com,"66880 Mckinney Hills
Matthewchester, MH 88386",DimGray,32.0637746203137,10.719149740628396,37.71250863884946,3.004742535925674,378.3309069068038,0.4022204554172195,4,7,69.0,1,2,22.0,17.0,19,162.54
brenda68@hotmail.com,"0377 Reed Via Apt. 169
Alexandershire, MO 43498",Moccasin,33.15569970295208,12.931550271647987,38.16643555663392,3.854473855602962,570.451725912857,0.191519266196649,1,0,54.0,12,2,12.0,20.0,195,72.81
bakerdrew@gmail.com,"39637 Griffin Plain Suite 691
New Deborahview, MP 73870-3773",Chartreuse,33.35687434475742,13.45212895943564,38.5030088492416,3.318822278930894,549.0082269346927,0.1307919639315172,4,0,162.0,14,2,10.0,16.0,330,118.75
connorlambert@yahoo.com,"931 Andrews Heights
South Shelley, NV 21850",Khaki,31.85307480174657,12.149375491578276,37.32533422381935,3.361814624383144,459.285123462352,0.21590058116550723,2,8,33.0,7,1,6.0,5.0,175,102.68
